# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	CentralIllinois	Palmetto	Alamo	GreaterTorontoWest	InlandEmpire	MICenterLine	MISouthfield	NEGraniteState	PNWAuburnMountainview	MARMtOlive	MARHatboroHorsham	Israel	GreaterTorontoEast	Arkansas	SanDiego	Crossroads	LakeSuperior	NorthernLights	HubCity	NEUNH	CentralValley	MIKetteringU	MIGullLake	PNWOregonCity	PNWGlacierPeak	NEGroton	MexicoCity	Sacramento	Orlando	GreaterKansasCity	St.Louis	NorthCarolina	NewYorkTechValley	Dallas	Utah	NEWPI	MIEscanaba	MIHowell	MARSpringsideChestnutHill	PNWEasternWashingtonU	PNWMt.Vernon	MARClifton	Waterloo	Montreal	Arizona	LosAngeles	Boilermaker	Buckeye	Virginia	Wisconsin	MIWestMichigan	MIGreatLakesBayRegion	MITraverseCity	PNWWilsonville	NERhodeIsland	PNWShorewood	NESouthington	MARLenape-Seneca	NorthBay	Peachtree	Hawaii	Minnesota10000Lakes	MinnesotaNorthStar	SBPLILongIsland	FingerLakes	QueenCity	Oklahoma	GreaterPittsburgh	SmokyMountains	GreaterDC	NENortheasternU	MILivonia	MISt.Joseph	MIWaterford	PNWAuburn	PNWCentralWashingtonU	NEHartford	MARBridgewaterRaritan	WesternCanada	WindsorEssexGreatLakes	SiliconValley	Colorado	SouthFlorida	Midwest	Bayou	Chesapeake	LasVegas	NewYorkCity	LoneStar	NEPineTree	MiLansing	MIBedford	MITroy	PNWOregonStateU	NewEnglandRegion	MichiganState	AutodeskPNW	MidAtlanticRegion	Archimedes	Curie	Galileo	Newton
																																																																																																													
3	Saint Charles, IL USA	Genesis Automation/Milwaukee School Of Engineering/Ace Metal Crafts/Center Tool Company/SMC/Balluff/Enersys & Youth Robotics and STEM Education Foundation	PWNAGE	2451	23	107.9	Curie	44.7206151074855																																																																																			102.977225578081																107.933200197423		
3	San Diego, CA USA	Qualcomm / Leidos / NASA / Black Mountain Family Dentistry / WowWee / NASSCO / SolidWorks / SolidCAM / Harper Construction / BrecoFlex / Ababa Bolt / Environmental Lights & Francis Parker High School	WARLords	2485	24	107.9	Archimedes															107.933112881934																																																																								85.6663412047081												96.2460022718561			
4	Davis, CA USA	UCD Chancellor's Office / Ron DuPratt Ford / Davis Senior High School / Da Vinci HS Booster Club / UCD School of Biological Sciences / UCD Vet School / UCD College of Engineering / UCD College of Agriculture and Environmental Science / Martin's Metal Fabrication / UCD College of Mathematical and Physical Science / Aerometals / UCD Department of Social Sciences / DMG Mori Seiki / UCD School of Medicine / UCD School of Nursing / UCD School of Education / Hoffmann Automotive / Aries Surgical & Davis Joint Unified School District	Citrus Circuits	1678	25	107.9	Newton					74.5943104323749																							92.7257526018714																																																					107.893340548651																					92.7358732914528
3	Mountain Home, AR USA	Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST & Mountain Home Public Schools	Bomb Squad	16	26	107.6	Newton														92.4283570076186																																																				107.618835737438																																				73.2032545432633
2	Longmont, CO USA	Seagate Technology & Career Development Center	Up-A-Creek Robotics	1619	27	106.6																																				87.9363655014471																																															106.626844392608																				
4	Washington, MI USA	RCM Inc./General Motors/Cross The Road Electronics & Romeo Community Schools	Byting Bulldogs	3539	28	106.0	Newton																																																																										66.27951445183																			106.015423468201			81.5516778957109						92.9624592454276
3	Waterloo, ON Canada	XL Tool & St. David Catholic Secondary School	Team Dave	3683	29	106.0	Galileo													105.961236058671																														84.7986676348221																																																										64.0328240608739	
5	Fremont, MI USA	Newaygo County Regional Educational Service Agency/The Fremont Area Community Foundation/The Gerber Foundation/Kaydon Bearings/The people of Newaygo County & Newaygo County RESA	NC GEARS	1918	30	105.5	Archimedes																							74.6611452130807																												73.6634313053514																																								105.471607703667					80.8830383414942			85.0991860484061			
4	Robbinsville, NJ USA	CCL Label / New York Society of Cosmetic Chemists / Siemens / Lockheed Martin / Citi / Nordson Corporation / Gaum Incorporated / RAS Process Equipment / Carfaro Railing / GrabCAD / SRI International / McGraw-Hill Financial / DesignTree / Gilbane Inc. / Elite Dental Care / APCO Petroleum Corporation / Robbinsville Education Association / Robbinsville Education Foundation & Robbinsville High School	Nemesis	2590	31	105.0	Archimedes											78.9449959487915																																															105.033362792148																																								75.7422115808525	103.3700787385			
3	Lockport, NY USA	Delphi / GM / Contracts Unlimited / HDS Industrial Design-Drafting / Superior Group & Lockport High School	Warlocks	1507	32	103.7	Newton																																																92.1364565332978																	103.735063654915																																					88.606717325664
