,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo
25,Raider Robotix,St. Louis,MARChampionship,6,4.36,0.00,-0.81,-0.81,0.40,-0.02,22.94,0.38,-1.00,-1.00,7.65,26.49,-0.07,-3.16,-1.11,0.33,0.33,0.35,0.03,26.41,1.84,-1.00,-1.00,62.13,0.22,0.23,0.29,36.83,0.79,-1.00,-1.00,-0.05,0.03,0.11,0.14,0.27,0.20,7.21,5.70,49.35,1.04,2.23,-1.00,-1.00,-1.92,94.32,96.06,0.16,-2.22,1589
25,Raider Robotix,St. Louis,MARMontgomery,5,5.59,-0.14,-0.59,-0.63,0.34,0.00,20.24,0.34,-1.00,-1.00,6.75,25.19,-0.02,0.90,0.29,0.33,0.34,0.43,-0.03,29.66,1.91,-1.00,-1.00,69.51,0.23,0.13,0.44,39.55,0.75,-1.00,-1.00,0.00,-0.03,-0.05,0.19,0.03,0.22,0.39,6.49,49.91,1.08,2.25,-1.00,-1.00,-0.34,101.20,98.58,0.23,24.63,1639
25,Raider Robotix,St. Louis,MARMountOlive,2,5.12,0.00,0.17,0.17,0.31,0.00,18.72,0.31,-1.00,-1.00,6.24,24.01,0.24,-1.01,-0.29,0.33,0.38,0.24,0.00,25.78,1.42,-1.00,-1.00,73.61,0.20,0.27,0.49,48.12,0.72,-1.00,-1.00,0.00,0.00,-0.14,0.06,0.02,0.40,-0.09,10.31,44.50,0.96,1.74,-1.00,-1.00,-0.12,107.92,107.92,0.39,44.78,1666
27,Team RUSH,Houston,Daly,9,4.74,0.22,14.65,14.72,0.44,-0.01,25.56,0.43,-1.00,-1.00,8.52,45.02,0.07,38.35,12.67,0.33,0.33,0.22,0.14,23.95,1.96,-1.00,-1.00,51.60,0.10,0.02,0.18,14.98,0.88,-1.00,-1.00,0.25,0.14,-0.04,0.03,0.12,-0.10,2.73,-2.33,49.51,1.02,2.38,-1.00,-1.00,27.39,94.29,113.54,0.12,-20.43,1556
27,Team RUSH,St. Louis,MISCFord,7,5.28,-0.10,4.84,4.82,0.18,0.00,10.85,0.18,-1.00,-1.00,3.62,20.95,-0.04,24.24,7.88,0.33,0.33,0.34,0.18,40.07,2.90,-1.00,-1.00,104.98,0.40,0.34,0.40,57.02,0.87,-1.00,-1.00,0.07,0.18,0.18,-0.16,-0.11,-0.06,-1.75,-2.25,50.92,1.18,3.08,-1.00,-1.00,12.70,123.68,142.63,0.31,36.85,1572
27,Team RUSH,St. Louis,MIHowell,5,5.49,0.06,4.71,4.73,0.25,0.00,15.06,0.25,-1.00,-1.00,5.02,25.28,-0.41,21.22,6.94,0.33,0.33,0.44,-0.01,33.97,2.14,-1.00,-1.00,82.99,0.08,0.28,0.48,42.08,0.94,-1.00,-1.00,0.00,-0.01,-0.04,0.12,0.16,-0.03,3.72,-0.15,49.04,1.10,2.39,-1.00,-1.00,11.66,108.12,107.43,0.17,8.68,1531
27,Team RUSH,St. Louis,MIWaterford,3,5.43,0.00,3.33,3.33,0.13,-0.01,7.32,0.12,-1.00,-1.00,2.44,16.08,1.67,7.35,2.48,0.33,0.36,0.53,-0.03,42.76,2.52,-1.00,-1.00,69.39,0.11,0.23,0.15,24.15,0.63,-1.00,-1.00,0.00,-0.03,0.06,0.15,0.71,-0.01,17.95,0.61,50.09,1.19,2.64,-1.00,-1.00,5.81,86.09,83.05,0.16,-0.45,1548
27,Team RUSH,St. Louis,NorthernLights,1,5.12,0.00,0.10,0.10,0.09,0.00,5.12,0.09,-1.00,-1.00,1.71,10.34,-0.14,3.77,0.88,0.33,0.45,-0.09,0.02,25.12,0.56,-1.00,-1.00,49.61,0.30,0.09,0.09,23.61,0.87,-1.00,-1.00,0.00,0.02,0.18,0.03,-0.06,-0.06,-0.58,-1.28,30.24,0.71,0.64,-1.00,-1.00,0.98,58.67,60.31,0.19,3.40,1566
28,Pierson Whalers,St. Louis,SBPLILongIsland,5,3.55,0.09,1.47,1.50,0.00,0.00,-0.15,0.00,-1.00,-1.00,-0.05,4.90,-1.36,-0.88,-0.37,0.33,0.34,0.15,-0.02,32.22,1.15,-1.00,-1.00,48.25,0.22,0.05,0.06,16.41,0.60,-1.00,-1.00,0.00,-0.02,0.45,-0.13,0.33,0.15,10.40,3.02,32.07,0.80,1.15,-1.00,-1.00,1.13,56.17,54.12,0.06,-10.28,1454
31,Prime Movers,Houston,Oklahoma,4,3.63,0.00,-0.12,-0.12,0.16,0.00,9.86,0.16,-1.00,-1.00,3.29,13.38,-0.58,0.05,-0.02,0.33,0.24,-0.07,0.00,13.72,0.18,-1.00,-1.00,32.41,0.14,-0.03,0.27,18.71,0.50,-1.00,-1.00,0.00,0.00,0.40,0.23,-0.12,0.08,-1.10,3.22,23.58,0.51,0.34,-1.00,-1.00,-0.14,49.01,49.01,0.19,-3.54,1405
31,Prime Movers,Houston,Dallas,2,3.88,0.00,-0.01,-0.01,0.26,0.00,15.50,0.26,-1.00,-1.00,5.17,19.38,0.35,-0.21,-0.06,0.33,0.24,0.09,0.00,16.22,0.59,-1.00,-1.00,44.90,0.05,0.44,0.08,28.75,0.50,-1.00,-1.00,0.00,0.00,0.22,-0.28,0.67,0.13,17.84,1.94,31.72,0.66,0.84,-1.00,-1.00,-0.07,66.22,66.22,0.04,-16.52,1363
33,Killer Bees,Houston,Carson,9,4.98,0.03,20.69,20.68,0.30,-0.02,16.98,0.28,-1.00,-1.00,5.66,42.65,-0.57,24.55,7.90,0.33,0.33,0.33,0.30,40.59,3.52,-1.00,-1.00,112.70,0.51,0.25,0.53,64.21,0.93,-1.00,-1.00,0.45,0.30,-0.01,0.04,-0.15,-0.20,-3.87,-4.86,57.57,1.30,3.80,-1.00,-1.00,28.58,150.48,189.90,0.38,71.90,1695
33,Killer Bees,St. Louis,MISCDow,7,4.88,-0.39,9.19,9.08,0.27,0.00,16.14,0.27,-1.00,-1.00,5.38,30.10,-1.15,18.25,5.88,0.33,0.33,0.34,0.48,48.93,4.66,-1.00,-1.00,110.92,0.26,0.50,0.37,56.11,1.00,-1.00,-1.00,0.09,0.48,0.14,0.28,0.18,0.00,5.09,1.44,65.07,1.49,4.93,-1.00,-1.00,14.96,142.46,192.34,0.54,48.68,1700
33,Killer Bees,St. Louis,ONWindsorEssexGreatLakes,5,4.83,-0.08,10.82,10.80,0.16,0.01,9.84,0.16,-1.00,-1.00,3.28,25.47,-0.72,42.56,13.92,0.33,0.35,0.31,0.04,34.77,2.03,-1.00,-1.00,108.13,0.39,0.38,0.41,59.44,0.95,-1.00,-1.00,0.33,0.04,0.21,0.03,-0.01,0.17,0.83,4.42,44.60,1.03,2.19,-1.00,-1.00,24.72,138.01,148.79,0.32,78.66,1658
33,Killer Bees,St. Louis,MIWaterford,3,4.17,0.00,7.59,7.59,0.10,-0.02,5.30,0.09,-1.00,-1.00,1.77,17.06,-0.08,19.38,6.36,0.33,0.38,0.60,0.16,55.26,4.01,-1.00,-1.00,114.46,0.31,0.39,0.37,52.84,0.95,-1.00,-1.00,0.00,0.16,0.06,0.20,0.12,0.12,3.23,4.11,60.56,1.47,4.10,-1.00,-1.00,13.94,135.63,151.61,0.41,78.16,1676
33,Killer Bees,St. Louis,MISouthfield,1,5.44,0.00,9.20,9.20,-0.08,0.00,-4.56,-0.08,-1.00,-1.00,-1.52,10.08,-0.25,6.73,2.13,0.34,0.39,0.67,0.00,59.19,3.56,-1.00,-1.00,123.06,0.47,0.38,0.38,61.74,1.00,-1.00,-1.00,0.00,0.00,-0.06,0.25,-0.12,-0.04,-3.38,0.23,54.62,1.40,3.48,-1.00,-1.00,11.33,133.37,133.37,0.70,126.49,1758
34,Rockets,Houston,RocketCity,4,4.70,0.16,1.06,1.12,0.25,0.00,15.10,0.25,-1.00,-1.00,5.03,20.91,-1.66,1.64,0.40,0.33,0.30,0.21,-0.01,23.35,1.14,-1.00,-1.00,62.09,0.03,0.02,0.71,38.33,0.67,-1.00,-1.00,0.07,-0.01,0.04,-0.03,-0.04,0.13,-0.72,3.16,38.45,0.84,1.39,-1.00,-1.00,1.52,86.15,86.69,0.07,14.06,1490
34,Rockets,Houston,St.Louis,2,4.35,0.10,0.89,0.89,0.30,0.00,18.19,0.30,-1.00,-1.00,6.06,23.44,-8.52,-1.40,-1.37,0.23,0.24,0.31,0.10,23.47,1.94,-1.00,-1.00,33.61,0.16,0.03,0.03,11.52,0.50,-1.00,-1.00,0.00,0.10,0.13,-0.02,0.33,0.00,8.83,-0.19,41.66,0.89,2.24,-1.00,-1.00,-0.48,56.87,67.20,0.20,-20.11,1461
41,RoboWarriors,St. Louis,MARBridgewater-Raritan,3,2.40,0.03,0.78,0.75,-0.17,0.00,-10.06,-0.17,-1.00,-1.00,-3.35,-6.91,0.17,0.95,0.28,0.33,0.31,0.23,0.07,44.11,2.08,-1.00,-1.00,62.27,0.21,-0.15,0.29,17.88,0.65,-1.00,-1.00,0.00,0.07,-0.07,0.05,-0.14,0.14,-3.72,3.79,34.04,0.93,1.91,-1.00,-1.00,1.03,59.15,65.75,-0.03,-23.61,1466
41,RoboWarriors,St. Louis,MARMountOlive,2,1.90,0.00,-0.30,-0.30,0.12,0.00,6.92,0.12,-1.00,-1.00,2.31,8.52,-0.10,-0.49,-0.14,0.33,0.29,0.00,0.00,20.15,0.45,-1.00,-1.00,21.49,0.00,-0.01,0.04,1.49,0.25,-1.00,-1.00,0.00,0.00,-0.11,0.14,-0.25,0.00,-6.72,0.75,27.07,0.62,0.56,-1.00,-1.00,-0.44,30.76,30.76,0.16,-4.13,1513
45,TechnoKats Robotics Team,Houston,Daly,9,4.20,-0.01,0.53,0.52,0.10,-0.01,5.51,0.09,-1.00,-1.00,1.84,10.23,-0.30,-1.33,-0.57,0.33,0.33,0.34,-0.01,35.85,1.83,-1.00,-1.00,69.34,0.09,0.22,0.37,34.06,0.70,-1.00,-1.00,0.00,-0.01,0.03,0.07,0.01,0.03,0.52,1.03,41.36,0.99,1.92,-1.00,-1.00,-0.05,80.61,79.23,-0.04,-15.65,1412
45,TechnoKats Robotics Team,St. Louis,INPerryMeridian,4,0.53,0.00,0.13,0.13,0.19,0.00,11.23,0.19,-1.00,-1.00,3.74,11.89,-0.03,0.54,0.08,0.33,0.34,0.07,-0.14,16.87,-0.05,-1.00,-1.00,25.48,0.23,-0.07,0.01,8.53,0.42,-1.00,-1.00,0.00,-0.14,0.06,0.14,0.08,-0.13,2.30,-2.64,28.11,0.61,0.13,-1.00,-1.00,0.21,34.74,20.85,-0.16,-60.71,1325
45,TechnoKats Robotics Team,St. Louis,INTippecanoe,1,2.36,-0.02,0.06,0.06,0.08,0.00,4.82,0.08,-1.00,-1.00,1.61,7.24,0.06,-0.36,-0.21,0.33,0.48,-0.14,-0.01,23.29,0.26,-1.00,-1.00,12.31,0.09,-0.16,-0.15,-10.77,0.25,-1.00,-1.00,0.00,-0.01,0.06,0.25,-0.02,-0.17,-0.14,-2.91,28.11,0.66,0.34,-1.00,-1.00,-0.16,16.63,15.85,-0.09,-40.88,1437
48,Delphi E.L.I.T.E.,Houston,Darwin,9,4.60,-0.02,1.77,1.77,0.49,-0.02,28.39,0.47,-1.00,-1.00,9.46,34.76,-0.09,1.79,0.57,0.33,0.33,0.31,0.48,38.92,4.30,-1.00,-1.00,69.09,-0.10,0.20,0.48,29.60,0.80,-1.00,-1.00,0.02,0.48,-0.08,-0.04,0.14,-0.34,3.16,-8.70,67.31,1.45,4.77,-1.00,-1.00,2.34,95.15,143.76,0.13,-27.98,1464
48,Delphi E.L.I.T.E.,St. Louis,SevenRivers,7,5.55,0.06,2.90,2.92,0.27,0.00,16.05,0.27,-1.00,-1.00,5.35,24.52,-1.45,-8.21,-2.87,0.33,0.33,0.48,0.36,49.40,4.45,-1.00,-1.00,57.48,0.03,0.05,0.14,10.96,0.60,-1.00,-1.00,0.00,0.36,0.31,-0.06,0.09,0.19,3.73,4.48,65.45,1.50,4.72,-1.00,-1.00,0.05,86.48,122.05,-0.06,-17.23,1465
