,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo
3673,C.Y.B.O.R.G. Seagulls,Houston,PNWClackamasAcademy,4,5.50,0.00,-0.26,-0.26,-0.03,0.00,-1.79,-0.03,-1.00,-1.00,-0.60,3.45,-0.03,1.41,0.49,0.34,0.36,-0.03,-0.02,27.12,0.52,-1.00,-1.00,54.16,0.39,-0.05,0.19,26.56,0.33,-1.00,-1.00,0.00,-0.02,-0.12,0.19,0.07,-0.01,1.22,0.69,25.33,0.65,0.49,-1.00,-1.00,0.22,58.30,56.45,0.12,17.40,1372
3673,C.Y.B.O.R.G. Seagulls,Houston,PNWWilsonville,2,0.59,0.00,0.14,0.14,0.02,0.00,1.35,0.02,-1.00,-1.00,0.45,2.08,0.03,1.92,0.57,0.33,0.20,-0.10,-0.01,15.98,-0.10,-1.00,-1.00,17.24,0.25,-0.22,-0.02,0.69,0.00,-1.00,-1.00,0.00,-0.01,0.38,0.34,0.96,0.06,25.98,3.31,17.32,0.42,-0.08,-1.00,-1.00,0.70,22.62,21.38,-0.30,-94.28,1217
3674,4-H Clover Bots,Houston,Carver,8,5.74,-0.03,-0.25,-0.26,0.58,0.20,46.50,0.78,-1.00,-1.00,15.50,51.99,-0.23,-7.75,-2.60,0.33,0.35,0.39,0.70,39.94,5.67,-1.00,-1.00,77.43,0.25,0.32,0.24,40.09,0.80,-1.00,-1.00,-0.12,0.70,-0.15,-0.06,-0.06,0.30,-2.35,7.22,86.44,1.77,6.44,-1.00,-1.00,-2.86,136.64,204.09,0.27,40.97,1589
3674,4-H Clover Bots,Houston,PNWChampionship,6,4.26,0.00,0.05,0.05,0.39,0.00,23.19,0.39,-1.00,-1.00,7.73,27.50,-0.19,6.35,1.98,0.33,0.32,0.36,0.34,38.95,3.76,-1.00,-1.00,94.41,0.31,0.24,0.52,53.48,1.00,-1.00,-1.00,0.05,0.34,0.04,-0.01,-0.11,0.13,-2.62,3.21,62.14,1.36,4.14,-1.00,-1.00,2.03,125.12,160.19,0.32,25.79,1552
3674,4-H Clover Bots,Houston,PNWClackamasAcademy,4,5.54,0.00,0.30,0.30,0.65,0.00,39.28,0.65,-1.00,-1.00,13.09,45.12,0.02,0.78,0.14,0.34,0.37,0.50,0.07,24.85,2.51,-1.00,-1.00,83.65,0.34,0.38,0.45,58.66,0.79,-1.00,-1.00,0.00,0.07,-0.16,0.01,-0.10,0.26,-3.24,6.46,64.13,1.28,3.16,-1.00,-1.00,0.43,135.23,142.44,0.60,90.57,1595
3674,4-H Clover Bots,Houston,PNWWilsonville,2,5.71,0.00,0.11,0.11,0.10,0.00,5.90,0.10,-1.00,-1.00,1.97,11.72,-0.24,2.06,0.65,0.33,0.33,0.25,-0.01,31.85,1.47,-1.00,-1.00,59.23,0.19,0.23,0.11,26.73,0.56,-1.00,-1.00,0.00,-0.01,-0.04,0.03,-0.12,0.06,-3.30,1.55,37.75,0.89,1.57,-1.00,-1.00,0.77,72.50,71.28,0.27,35.49,1519
3676,Warrior Robotics,Houston,Dallas,2,4.53,0.00,0.00,0.00,-0.05,0.00,-3.01,-0.05,-1.00,-1.00,-1.00,1.52,0.28,-0.05,-0.01,0.33,0.27,0.09,0.00,29.72,0.94,-1.00,-1.00,52.01,0.19,0.07,0.19,22.31,0.25,-1.00,-1.00,0.00,0.00,-0.27,-0.36,0.02,-0.10,-0.98,-4.16,26.71,0.69,0.89,-1.00,-1.00,-0.01,49.37,49.37,-0.07,-39.65,1411
3679,rattlers,Houston,Alamo,6,3.21,-0.21,0.28,0.19,-0.08,0.00,-5.09,-0.08,-1.00,-1.00,-1.70,-1.69,-0.70,0.45,0.04,0.33,0.24,-0.02,0.00,25.64,0.49,-1.00,-1.00,45.77,0.06,-0.07,0.41,20.09,0.83,-1.00,-1.00,0.00,0.00,0.38,-0.04,-0.17,-0.08,-2.37,-2.32,20.55,0.56,0.40,-1.00,-1.00,0.23,41.76,41.76,0.02,-7.06,1408
3680,Elemental Dragons,Houston,NCUNCAsheville,3,4.11,-0.01,0.01,0.01,0.29,0.00,17.17,0.29,-1.00,-1.00,5.72,21.29,-0.08,0.16,0.00,0.33,0.33,0.10,-0.04,17.85,0.57,-1.00,-1.00,-7.38,-0.14,-0.20,-0.17,-25.23,0.00,-1.00,-1.00,0.00,-0.04,0.09,0.02,0.38,0.42,9.89,10.50,35.02,0.73,0.85,-1.00,-1.00,0.00,24.40,20.49,-0.12,-78.92,1231
3680,Elemental Dragons,Houston,NCGreensboro,2,2.49,0.00,-0.25,-0.25,0.01,0.00,0.39,0.01,-1.00,-1.00,0.13,2.62,1.56,-3.36,-0.91,0.34,0.43,-0.23,0.00,21.71,-0.06,-1.00,-1.00,23.62,0.05,0.13,-0.13,2.82,0.07,-1.00,-1.00,0.00,0.00,-0.02,0.49,-0.22,0.60,-5.69,17.33,22.09,0.55,-0.05,-1.00,-1.00,-1.16,43.57,43.57,0.03,-39.97,1322
3683,Team Dave,St. Louis,Tesla,9,4.67,-0.07,-1.73,-1.77,0.28,0.00,16.70,0.28,-1.00,-1.00,5.57,19.60,23.47,4.04,3.80,0.33,0.32,0.43,0.35,46.18,4.18,-1.00,-1.00,93.51,0.25,0.31,0.31,43.53,0.94,-1.00,-1.00,0.00,0.35,0.05,-0.01,0.08,-0.17,2.18,-4.17,62.89,1.43,4.45,-1.00,-1.00,2.03,108.94,143.51,0.30,1.95,1620
3683,Team Dave,St. Louis,ONProvincialChampionship,7,5.10,1.38,-1.12,-0.69,0.22,-0.04,10.21,0.17,-1.00,-1.00,3.40,14.62,29.29,3.13,4.28,0.33,0.34,0.34,0.34,47.58,3.95,-1.00,-1.00,95.24,0.35,0.24,0.28,43.38,0.85,-1.00,-1.00,0.04,0.34,0.37,0.17,0.03,0.12,2.51,3.96,57.79,1.36,4.12,-1.00,-1.00,3.59,113.82,149.18,0.38,32.27,1611
3683,Team Dave,St. Louis,ONUniversityOfWaterloo,4,4.14,0.74,1.19,1.44,0.49,0.00,29.31,0.49,-1.00,-1.00,9.77,34.89,3.70,0.88,0.65,0.35,0.40,0.55,0.15,38.14,3.41,-1.00,-1.00,72.10,-0.08,0.59,0.16,33.30,0.58,-1.00,-1.00,0.08,0.15,0.27,0.04,0.20,0.51,6.42,13.02,67.46,1.44,3.90,-1.00,-1.00,2.09,120.00,136.56,0.34,54.54,1601
3683,Team Dave,St. Louis,ONDurhamCollege,1,5.81,1.97,0.09,0.41,0.26,0.00,15.76,0.26,-1.00,-1.00,5.25,21.97,10.98,0.88,1.48,0.34,0.39,0.58,0.00,41.77,2.83,-1.00,-1.00,58.66,0.22,0.00,0.09,15.41,0.50,-1.00,-1.00,0.00,0.00,0.49,0.25,-0.11,0.26,-0.29,7.82,57.53,1.31,3.10,-1.00,-1.00,1.88,88.45,88.45,0.22,27.15,1574
3684,Electric Eagles,Houston,PNWAuburn,5,5.27,-0.01,0.35,0.35,-0.08,0.00,-4.69,-0.08,-1.00,-1.00,-1.56,0.93,-0.13,5.88,1.92,0.33,0.34,0.21,0.10,42.38,2.19,-1.00,-1.00,65.96,0.12,0.00,0.32,21.67,0.42,-1.00,-1.00,-0.02,0.10,0.07,0.07,0.57,0.03,14.56,1.19,37.69,0.98,2.11,-1.00,-1.00,2.27,68.09,77.67,0.02,-50.20,1355
3684,Electric Eagles,Houston,PNWAuburnMountainview,1,5.09,0.01,-0.05,-0.05,-0.12,0.00,-6.94,-0.12,-1.00,-1.00,-2.31,-1.91,-1.22,-1.12,-0.43,0.35,0.30,-0.11,0.00,26.17,0.29,-1.00,-1.00,29.94,-0.06,0.07,0.07,4.20,0.08,-1.00,-1.00,0.00,0.00,0.17,0.33,0.24,-0.07,6.77,-0.11,19.23,0.54,0.17,-1.00,-1.00,-0.48,27.93,27.93,-0.05,-53.29,1378
3688,Norsemen,St. Louis,MISCDTEEnergyFoundation,7,5.33,-0.02,0.27,0.27,0.22,0.00,13.42,0.22,-1.00,-1.00,4.47,19.02,-0.37,-3.82,-1.36,0.33,0.33,0.27,-0.05,26.71,1.25,-1.00,-1.00,62.60,0.32,0.21,0.22,37.26,0.92,-1.00,-1.00,-0.07,-0.05,0.27,-0.23,-0.21,-0.11,-3.84,-3.77,40.14,0.89,1.47,-1.00,-1.00,-1.09,77.85,71.60,-0.05,-33.49,1473
3688,Norsemen,St. Louis,MITraverseCity,6,4.35,-0.04,-0.06,-0.07,0.44,0.00,26.70,0.44,-1.00,-1.00,8.90,30.97,-0.05,0.96,0.16,0.33,0.35,0.44,0.08,30.40,2.50,-1.00,-1.00,72.07,0.16,0.37,0.30,41.50,0.94,-1.00,-1.00,0.00,0.08,-0.09,0.05,-0.12,0.17,-3.56,4.56,57.10,1.21,2.95,-1.00,-1.00,0.10,107.60,115.83,0.53,67.99,1591
3688,Norsemen,St. Louis,MISt.Joseph,2,4.73,0.00,-0.06,-0.06,0.21,0.00,12.30,0.21,-1.00,-1.00,4.10,16.97,1.97,1.37,0.57,0.33,0.42,0.21,0.00,30.11,1.46,-1.00,-1.00,82.68,0.48,0.19,0.37,51.99,0.79,-1.00,-1.00,0.00,0.00,0.06,-0.08,-0.02,-0.02,-0.16,-0.82,42.41,0.96,1.66,-1.00,-1.00,0.51,98.82,98.82,0.21,20.82,1563
3691,RoboRaiders,St. Louis,MinnesotaNorthStar,6,3.92,0.00,-0.34,-0.34,0.48,0.00,28.52,0.48,-1.00,-1.00,9.51,32.10,-0.61,3.20,1.03,0.34,0.25,0.10,-0.02,7.67,0.28,-1.00,-1.00,58.07,0.16,0.45,0.37,49.37,0.40,-1.00,-1.00,0.00,-0.02,0.06,0.24,-0.10,-0.07,-2.23,-0.56,36.19,0.67,0.75,-1.00,-1.00,0.70,89.61,87.17,0.18,9.93,1407
3692,Rock N' Robotics,St. Louis,Wisconsin,4,5.88,0.49,-0.11,0.06,0.35,0.00,21.18,0.35,-1.00,-1.00,7.06,27.12,-0.78,0.47,0.03,0.33,0.35,0.23,0.02,23.33,1.40,-1.00,-1.00,53.31,0.40,0.20,0.00,29.95,0.70,-1.00,-1.00,0.00,0.02,0.07,-0.03,0.01,-0.11,0.53,-2.90,44.50,0.94,1.75,-1.00,-1.00,0.09,77.53,79.73,0.10,19.14,1413
3692,Rock N' Robotics,St. Louis,CentralIllinois,3,3.06,-0.75,-0.57,-0.79,-0.05,0.00,-3.19,-0.05,-1.00,-1.00,-1.06,-0.92,-0.27,-2.13,-0.67,0.33,0.17,0.08,0.00,25.41,0.71,-1.00,-1.00,36.39,0.14,0.12,-0.02,11.65,0.10,-1.00,-1.00,-0.02,0.00,0.25,0.37,-0.13,0.36,-2.03,10.91,22.21,0.58,0.66,-1.00,-1.00,-1.46,46.37,45.88,0.05,-24.79,1395
3693,GearHead Pirates,Houston,PNWChampionship,6,4.56,0.01,0.23,0.23,0.17,0.00,10.24,0.17,-1.00,-1.00,3.41,15.03,1.27,13.25,4.41,0.33,0.33,0.27,0.03,31.68,1.73,-1.00,-1.00,66.15,0.36,0.20,0.05,30.06,0.50,-1.00,-1.00,0.05,0.03,-0.12,-0.09,-0.06,-0.12,-2.13,-3.53,41.92,0.96,1.90,-1.00,-1.00,4.64,77.66,81.51,0.12,-11.79,1498
3693,GearHead Pirates,Houston,PNWCentralWashingtonUniversity,3,5.01,0.00,-0.10,-0.10,0.02,0.00,1.41,0.02,-1.00,-1.00,0.47,6.32,-0.39,0.15,-0.05,0.33,0.35,0.35,0.00,40.40,2.08,-1.00,-1.00,68.03,0.25,0.29,0.01,27.67,0.65,-1.00,-1.00,0.00,0.00,-0.14,-0.08,-0.17,-0.05,-5.05,-1.61,41.81,1.03,2.10,-1.00,-1.00,-0.14,72.75,72.75,0.34,34.33,1500
3693,GearHead Pirates,Houston,PNWWestValley,1,3.11,0.00,0.08,0.08,0.13,0.00,8.08,0.13,-1.00,-1.00,2.69,11.26,0.76,-0.82,-0.22,0.17,0.06,0.00,0.00,3.64,-0.11,-1.00,-1.00,10.61,0.20,-0.01,-0.05,7.19,0.06,-1.00,-1.00,0.00,0.00,0.34,0.39,-0.11,0.23,-0.99,7.61,11.72,0.23,0.03,-1.00,-1.00,-0.14,29.49,29.31,0.11,-9.60,1435
3694,NAHS Warbotz,Houston,PCHAlbany,4,3.61,0.84,-0.04,0.20,0.08,0.00,4.92,0.08,-1.00,-1.00,1.64,8.73,-0.23,0.18,0.09,0.33,0.32,0.23,0.01,32.07,1.50,-1.00,-1.00,34.75,-0.06,-0.03,0.15,2.59,0.33,-1.00,-1.00,0.00,0.01,-0.11,0.01,0.16,-0.11,3.41,-2.61,36.99,0.88,1.58,-1.00,-1.00,0.29,40.87,41.47,0.22,2.18,1345
3694,NAHS Warbotz,Houston,PCHColumbus,3,1.09,0.93,-0.03,0.22,0.05,0.00,3.12,0.05,-1.00,-1.00,1.04,4.43,-0.07,-0.54,-0.12,0.33,0.20,-0.07,-0.02,15.59,0.04,-1.00,-1.00,20.42,0.11,0.00,-0.01,4.96,0.08,-1.00,-1.00,0.00,-0.02,0.09,0.44,-0.13,-0.11,-2.80,-0.60,18.70,0.44,0.09,-1.00,-1.00,0.10,24.25,22.71,-0.06,-61.36,1347
3695,Foximus Prime,St. Louis,SevenRivers,7,3.86,0.21,0.18,0.25,0.30,0.00,17.73,0.30,-1.00,-1.00,5.91,21.83,-1.03,-3.21,-1.20,0.33,0.33,0.54,0.06,38.99,2.91,-1.00,-1.00,79.51,0.15,0.32,0.36,41.71,0.85,-1.00,-1.00,-0.02,0.06,0.27,0.20,0.58,0.51,15.74,13.79,56.72,1.27,3.20,-1.00,-1.00,-0.95,115.12,120.76,0.18,15.79,1489
3695,Foximus Prime,St. Louis,CentralIllinois,3,4.64,0.00,0.35,0.35,0.06,0.00,3.38,0.06,-1.00,-1.00,1.13,8.37,-0.18,0.30,0.11,0.33,0.24,0.15,0.00,27.01,1.05,-1.00,-1.00,69.79,0.44,0.11,0.30,42.67,0.77,-1.00,-1.00,0.00,0.00,-0.11,0.40,-0.03,0.09,-1.16,4.17,30.39,0.73,1.11,-1.00,-1.00,0.46,82.33,82.28,0.21,22.53,1463
3700,The Metalling Kids,Houston,Dallas,2,3.89,0.00,-0.01,-0.01,0.04,0.00,2.40,0.04,-1.00,-1.00,0.80,6.28,-0.30,0.28,0.10,0.33,0.03,-0.20,0.00,4.68,-0.80,-1.00,-1.00,3.27,-0.13,-0.01,0.12,-1.51,0.00,-1.00,-1.00,0.00,0.00,-0.36,0.12,0.12,-0.25,1.12,-5.59,7.08,0.16,-0.76,-1.00,-1.00,0.09,3.97,3.97,0.13,-39.72,1362
3704,Robosapiens,Houston,SanDiego,2,5.68,-0.07,0.17,0.15,0.26,0.00,15.39,0.26,-1.00,-1.00,5.13,21.22,-0.17,-0.06,-0.06,0.33,0.43,0.00,0.00,20.17,0.61,-1.00,-1.00,43.55,-0.01,0.24,0.24,23.44,0.25,-1.00,-1.00,0.00,0.00,0.39,0.02,-0.04,-0.35,0.96,-8.73,35.56,0.76,0.87,-1.00,-1.00,0.09,56.04,56.04,-0.04,-14.09,1370
3707,TechnoDogs,St. Louis,MIHowell,5,3.96,-0.07,0.58,0.56,0.19,0.00,11.23,0.19,-1.00,-1.00,3.74,15.75,-0.14,-2.09,-0.75,0.33,0.33,0.07,-0.01,21.47,0.70,-1.00,-1.00,61.66,0.44,0.20,0.18,40.94,0.79,-1.00,-1.00,0.00,-0.01,0.19,0.10,0.09,0.08,3.11,2.60,32.71,0.72,0.89,-1.00,-1.00,-0.19,80.00,79.23,0.07,-10.16,1447
3707,TechnoDogs,St. Louis,MISouthfield,1,2.12,0.00,0.11,0.11,-0.01,0.00,-0.87,-0.01,-1.00,-1.00,-0.29,1.36,0.10,-0.71,-0.31,0.34,0.42,-0.11,0.00,26.61,0.42,-1.00,-1.00,69.92,0.28,0.42,0.18,43.63,0.79,-1.00,-1.00,0.00,0.00,0.05,0.18,-0.12,0.02,-2.71,1.32,25.74,0.65,0.41,-1.00,-1.00,-0.20,72.60,72.60,0.26,36.45,1477
3711,Iron Mustang,Houston,PNWChampionship,6,5.46,0.00,0.59,0.59,0.41,0.00,24.59,0.41,-1.00,-1.00,8.20,30.64,0.08,-5.05,-1.67,0.33,0.34,0.43,-0.11,23.17,1.33,-1.00,-1.00,51.82,0.20,0.31,0.11,30.32,0.58,-1.00,-1.00,-0.07,-0.11,0.27,0.47,0.33,-0.04,9.65,1.48,47.77,0.99,1.74,-1.00,-1.00,-1.08,83.94,71.72,0.00,-31.88,1469
3711,Iron Mustang,Houston,PNWCentralWashingtonUniversity,3,5.61,0.00,0.13,0.13,0.26,0.00,15.33,0.26,-1.00,-1.00,5.11,21.08,-0.17,0.40,0.12,0.33,0.33,0.22,0.00,25.20,1.29,-1.00,-1.00,59.16,0.47,0.35,-0.14,33.84,0.76,-1.00,-1.00,0.00,0.00,0.09,0.06,-0.11,0.51,-2.23,13.14,40.54,0.89,1.54,-1.00,-1.00,0.25,93.38,93.38,0.33,35.63,1563
3711,Iron Mustang,Houston,PNWWilsonville,2,1.17,0.00,-0.08,-0.08,0.08,0.00,4.69,0.08,-1.00,-1.00,1.56,5.78,-0.09,12.06,3.91,0.33,0.39,0.21,0.00,34.17,1.53,-1.00,-1.00,79.73,0.29,0.39,0.15,41.65,0.73,-1.00,-1.00,0.00,0.00,-0.04,-0.02,0.10,0.36,2.22,8.90,38.86,0.93,1.61,-1.00,-1.00,3.83,94.41,94.29,0.46,44.24,1548
3712,RoboCats,Houston,PNWCentralWashingtonUniversity,3,4.62,0.00,-0.37,-0.37,0.09,0.00,5.51,0.09,-1.00,-1.00,1.84,9.76,-0.01,-0.96,-0.32,0.33,0.36,-0.22,0.00,15.02,-0.27,-1.00,-1.00,43.65,0.01,0.23,0.34,28.94,0.50,-1.00,-1.00,0.00,0.00,0.39,0.09,0.10,0.45,4.35,11.76,20.53,0.47,-0.18,-1.00,-1.00,-0.69,65.16,65.16,-0.06,-14.27,1396
3712,RoboCats,Houston,PNWWestValley,1,0.44,-0.01,0.04,0.04,-0.01,0.00,-0.77,-0.01,-1.00,-1.00,-0.26,-0.28,3.37,-1.19,-0.07,0.27,0.14,-0.04,0.00,15.27,0.08,-1.00,-1.00,29.95,-0.01,0.14,0.16,14.75,0.08,-1.00,-1.00,0.00,0.00,-0.01,-0.20,0.29,-0.05,7.13,-2.18,14.50,0.37,0.06,-1.00,-1.00,-0.03,27.51,27.46,-0.34,-50.65,1338
3714,SOAR (Students of Applied Robotics),St. Louis,CHSCentralMaryland,4,4.84,-0.19,-0.01,-0.07,0.20,0.00,11.93,0.20,-1.00,-1.00,3.98,16.69,0.08,0.00,0.00,0.32,0.38,-0.19,0.00,12.87,-0.21,-1.00,-1.00,29.17,-0.01,0.12,0.21,16.30,0.27,-1.00,-1.00,0.00,0.00,-0.01,-0.05,-0.03,0.36,-0.88,8.86,24.79,0.52,-0.01,-1.00,-1.00,-0.07,54.72,54.72,0.28,1.03,1399
3714,SOAR (Students of Applied Robotics),St. Louis,CHSNorthernMaryland,3,1.88,-0.03,-0.04,-0.04,-0.12,0.00,-7.14,-0.12,-1.00,-1.00,-2.38,-5.29,0.61,-0.06,-0.02,0.33,0.20,-0.11,-0.02,20.85,-0.04,-1.00,-1.00,37.20,0.15,-0.03,0.21,16.37,0.25,-1.00,-1.00,0.00,-0.02,0.13,0.02,0.90,0.12,23.25,3.17,13.71,0.40,-0.16,-1.00,-1.00,-0.06,35.08,33.46,0.01,-38.00,1346
3719,STEM Whalers ,St. Louis,Darwin,9,3.65,0.01,0.01,0.02,0.21,-0.04,10.32,0.17,-1.00,-1.00,3.44,13.99,0.43,13.72,4.54,0.33,0.32,0.22,0.33,41.69,3.38,-1.00,-1.00,70.08,0.17,0.05,0.26,23.85,0.80,-1.00,-1.00,0.01,0.33,-0.01,0.13,-0.20,0.12,-4.95,3.68,52.01,1.21,3.55,-1.00,-1.00,4.56,87.75,121.44,0.08,-14.95,1468
3719,STEM Whalers ,St. Louis,NEChampionship,6,4.31,0.12,0.23,0.28,0.42,0.00,25.23,0.42,-1.00,-1.00,8.41,29.82,-0.02,4.23,1.38,0.33,0.33,0.23,0.33,32.50,3.18,-1.00,-1.00,85.06,0.35,0.20,0.47,51.19,0.95,-1.00,-1.00,0.01,0.33,-0.05,0.00,0.22,-0.12,5.23,-3.12,57.73,1.23,3.60,-1.00,-1.00,1.65,111.76,145.36,0.33,9.84,1493
3719,STEM Whalers ,St. Louis,NERhodeIsland,4,4.64,0.08,0.01,0.02,0.30,0.00,18.01,0.30,-1.00,-1.00,6.00,22.67,0.50,-0.54,-0.14,0.33,0.34,0.37,0.14,35.37,2.70,-1.00,-1.00,78.10,0.22,0.28,0.37,42.87,0.93,-1.00,-1.00,0.00,0.14,0.15,-0.15,0.04,-0.12,1.72,-3.75,53.38,1.18,3.00,-1.00,-1.00,-0.12,97.03,111.20,0.16,7.43,1481
3719,STEM Whalers ,St. Louis,NEWPI,2,5.02,0.00,0.98,0.98,0.15,0.00,9.01,0.15,-1.00,-1.00,3.00,15.01,0.06,0.92,0.27,0.33,0.40,0.13,-0.01,28.38,1.13,-1.00,-1.00,59.90,0.16,0.29,0.17,31.25,0.47,-1.00,-1.00,0.00,-0.01,0.36,-0.10,0.48,0.09,13.79,1.73,37.39,0.86,1.28,-1.00,-1.00,1.25,76.64,75.94,0.39,10.53,1445
3721,Charger Robotics,Houston,Carver,8,4.84,0.03,1.55,1.57,0.18,0.00,10.80,0.18,-1.00,-1.00,3.60,17.21,0.12,-2.53,-0.73,0.33,0.35,0.28,-0.02,30.31,1.50,-1.00,-1.00,81.70,0.49,0.10,0.45,52.13,0.90,-1.00,-1.00,0.02,-0.02,0.41,0.46,0.01,0.11,2.19,4.95,41.11,0.94,1.68,-1.00,-1.00,0.83,103.86,102.52,0.47,38.65,1517
3721,Charger Robotics,Houston,Hawaii,5,2.17,0.00,0.91,0.91,0.11,0.00,6.31,0.11,-1.00,-1.00,2.10,9.39,1.61,2.98,1.18,0.34,0.24,0.35,-0.01,32.90,1.76,-1.00,-1.00,23.31,-0.17,-0.13,0.08,-10.77,0.42,-1.00,-1.00,0.01,-0.01,-0.18,-0.14,0.45,0.31,10.25,7.16,39.21,0.93,1.86,-1.00,-1.00,2.09,39.86,39.40,0.09,-13.30,1429
3723,TEKnights,St. Louis,NorthernLights,1,5.29,0.00,-0.26,-0.26,0.13,0.00,7.85,0.13,-1.00,-1.00,2.62,12.88,3.84,-1.76,-0.26,0.33,0.37,-0.02,0.01,22.95,0.61,-1.00,-1.00,58.39,0.32,0.17,0.22,35.70,0.33,-1.00,-1.00,0.00,0.01,0.08,0.01,0.01,0.04,0.76,0.98,30.79,0.70,0.74,-1.00,-1.00,-0.52,72.24,73.67,0.37,32.48,1496
3728,Momentum,Houston,LoneStarCentral,3,1.65,0.00,1.23,1.23,-0.16,0.00,-9.43,-0.16,-1.00,-1.00,-3.14,-6.55,-2.91,4.10,1.04,0.33,0.27,-0.03,-0.01,28.53,0.49,-1.00,-1.00,24.13,0.01,0.02,-0.14,-5.45,0.00,-1.00,-1.00,0.01,-0.01,0.30,0.07,0.00,-0.17,1.47,-3.89,19.10,0.56,0.33,-1.00,-1.00,2.27,13.69,12.79,0.00,-11.22,1360
3729,The Raiders,Houston,Colorado,4,5.26,-0.07,-0.02,-0.03,0.56,0.00,33.60,0.56,-1.00,-1.00,11.20,38.83,-0.28,-0.29,-0.21,0.33,0.23,0.16,-0.01,6.07,0.65,-1.00,-1.00,39.47,0.29,0.24,0.13,33.60,0.73,-1.00,-1.00,0.00,-0.01,-0.02,-0.07,0.16,0.03,3.92,0.46,39.68,0.71,1.21,-1.00,-1.00,-0.24,78.76,77.63,0.16,23.49,1512
3729,The Raiders,Houston,Utah,2,4.62,0.00,-0.67,-0.67,0.16,0.00,9.54,0.16,-1.00,-1.00,3.18,13.49,1.79,8.56,3.04,0.33,0.17,-0.11,0.00,8.91,-0.27,-1.00,-1.00,40.78,-0.09,0.26,0.40,28.84,0.70,-1.00,-1.00,0.10,0.00,-0.01,-0.06,-0.23,0.34,-5.70,8.18,18.45,0.38,-0.11,-1.00,-1.00,2.38,62.46,64.38,0.03,11.22,1468
3734,Caxys,St. Louis,Midwest,5,4.93,1.20,-0.65,-0.30,-0.28,0.00,-17.03,-0.28,-1.00,-1.00,-5.68,-12.40,-1.28,-3.42,-1.18,0.33,0.33,0.07,-0.04,39.35,1.00,-1.00,-1.00,51.91,-0.10,0.21,0.16,13.74,0.78,-1.00,-1.00,0.01,-0.04,0.10,0.12,0.01,0.05,0.77,1.86,22.32,0.70,0.72,-1.00,-1.00,-1.47,41.37,37.56,-0.21,-31.76,1419
3735,VorTX,Houston,Newton,8,5.33,-0.01,0.87,0.87,0.43,0.10,31.47,0.52,-1.00,-1.00,10.49,37.67,0.08,-4.91,-1.58,0.33,0.33,0.42,0.11,26.15,2.44,-1.00,-1.00,51.97,0.32,0.00,0.23,27.41,0.83,-1.00,-1.00,-0.09,0.11,-0.07,-0.01,-0.19,0.77,-5.09,19.06,57.62,1.18,2.96,-1.00,-1.00,-0.70,108.71,117.66,0.07,7.73,1503
3735,VorTX,Houston,LoneStarNorth,5,4.79,0.00,-2.63,-2.63,0.47,0.00,28.45,0.47,-1.00,-1.00,9.48,30.61,-0.01,-2.82,-1.04,0.33,0.33,0.35,0.08,24.72,2.05,-1.00,-1.00,62.23,0.24,0.14,0.39,38.55,0.79,-1.00,-1.00,-0.02,0.08,0.00,0.16,0.09,-0.03,2.24,0.02,53.17,1.09,2.52,-1.00,-1.00,-3.67,92.86,100.04,-0.05,-5.78,1467
3735,VorTX,Houston,LoneStarCentral,3,6.19,0.00,0.08,0.08,0.19,0.00,11.29,0.19,-1.00,-1.00,3.76,17.56,-2.83,0.79,0.02,0.33,0.40,0.45,-0.01,39.06,2.33,-1.00,-1.00,85.21,0.23,0.50,0.19,46.13,0.93,-1.00,-1.00,0.03,-0.01,0.06,0.17,-0.21,-0.01,-5.02,0.54,50.35,1.16,2.51,-1.00,-1.00,0.10,103.31,102.93,0.45,72.79,1545
