# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	SouthFlorida	LakeSuperior	NorthernLights	Palmetto	Dallas	InlandEmpire	GeorgiaSouthernClassic	MIHowell	MISouthfield	MIStandish	NEGraniteState	PNWOregonCity	PNWAuburnMountainview	NEWaterbury	INPerryMeridian	MARHatboro-Horsham	TorontoCentral	MexicoCity	ArkansasRockCity	Pittsburgh	CentralValley	NEPioneerValley	MIKetteringUniversity	MIKentwood	MIWaterford	PNWWestValley	NEReading	MARMt.Olive	PNWGlacierPeak	Israel	Australia	TorontoEast	LosAngeles	Orlando	KansasCity	Alamo	Utah	NewYorkCity	INKokomo	NEUMass-Dartmouth	NEPineTree	MIWoodhaven	MIGullLake	MITraverseCity	PNWWilsonville	MARSpringsideChestnutHill	PNWMt.Vernon	Waterloo	Montreal	ArizonaEast	Sacramento	CentralIllinois	Bayou	St.Louis	NorthCarolina	NewYorkTechValley	Virginia	Wisconsin	INPurdue	MIWestMichigan	MIGreatLakesBayRegion	MISt.Joseph	PNWCentralWashingtonUniversity	NEUNH	MARSeneca	NERhodeIsland	PNWShorewood	NorthBay	Colorado	Peachtree	Hawaii	LasVegas	SBPLILongIsland	FingerLakes	Buckeye	Oklahoma	HubCity	GreaterDC	Ventura	NENortheastern	MICenterline	MIEscanaba	MILivonia	PNWPhilomathPeak	PNWAuburn	NEHartford	MARBridgewater-Raritan	MARUpperDarby	WesternCanada	WindsorEssexGreatLakes	ArizonaWest	SanDiego	SiliconValley	Midwest	Chesapeake	Minnesota10000Lakes	MinnesotaNorthStar	QueenCity	SmokyMountains	LoneStar	PNWDistrictChampionship	INDistrictChampionship	MILansing	MIBedford	MITroy	MARNorthBrunswick	NEDistrictChampionship	MIDistrictChampionship	MARDistrictChampionship	Archimedes	Carson	Carver	Curie	Galileo	Hopper	Newton	Tesla
																																																																																																																												
2	Agawam, MA USA	United Technologies Aerospace Systems/G & L Tool/PTC/Hartford Steam Boiler Inspection & Insurance Company/Agawam Robotics Education Association Inc./Agawam Lions Club & AGAWAM HIGH	Rosie Robotics	839	644	34.0																							18.9312713592146																																																																33.9527042043789																															
2	St. Louis, MO USA	The Boeing Company/Visitation Academy of Saint Louis & ST LOUIS PRIORY SCHOOL	ROBOREBELS	1329	645	33.9																																				33.934477766057																			16.4058097993492																																																															
2	Monroe, MI USA	DTE Energy / UWUA Local 223 / Pioneer Metal Finishing / La-Z-Boy / Education Plus Credit Union / Clark Family / Stolisov Family / Eder Family / Jennifer & John Truitt / Branden Ghena / Revard Family / Meyer Family / Denise Coleiro-Smith & JEFFERSON HIGH SCHOOL	Tempest	240	646	33.9																																											5.1412027487135																																																														33.900251691967													
4	The Woodlands, TX USA	Halliburton / Anadarko / NRG / NEMA Enclosures / Subsea 7 / Crow Corp / Sherry and Alan Coats / Texas Workforce Commission / DS SolidWorks & COLLEGE PARK H S	Texas Torque	1477	647	33.8	Galileo					30.8128214507198																																																33.8276221244436																																															31.2736923280588														20.1765922288459			
2	Granite Bay, CA USA	GRANITE BAY HIGH	Renevatio	295	648	33.8	Newton																					26.0081512076566																														13.8577841310933																																																																	33.8090602310166	
2	Visalia, CA USA	NASA/Brin Wojcicki Foundation /Visalia Unified School District/PTC & EL DIAMANTE HIGH	Visalia Vanquishers	5529	649	33.7443771362305	Newton																					14.7887349225647																																																										11.767709269516																																					33.7443777303559	
2	Austin, MN USA	Hormel Foundation/Medtronic & AUSTIN SENIOR HIGH	Furious George	3055	650	33.7				33.7413987031584																																																																																														27.6430015508009																				
2	Sussex, WI USA	GE Volunteers of GE Healthcare / Rockwell Automation / Red Arrow Labs / Reich Tool and Design / MSOE & HAMILTON HIGH	Charger Robotics	537	651	33.7	Newton																																																										8.7406355212584																																								25.7338664451963																		33.7059778502612	
2	Spencerport, NY USA	Xerox Corporation / Exelis / Baxter / UTC / Advantage Federal Credit Union / Flower City Communications / ANKOM & SPENCERPORT HIGH SCHOOL	Ranger Robotics	3015	652	33.7	Newton																				33.6940458298757																																																						32.6067518617356																																										23.0450253197699	
3	Sequim, WA USA	Sequim High School C.T.E./Sequim PC Users Group/Sequim Education Foundation/Sequim Sunrise Rotary/RE MAX 5th Ave/Sequim Noon Rotary/Sodexo/David & Patricia Mattingly/Karma Wellnes Co Op/Sequim Valley Orthodontics/State Farm/Clallam Transit System & SEQUIM SENIOR HIGH	SkyNet Robotics North West	3826	653	33.7																														10.6265577338187																		22.1992933472821																																																						33.6782268690476																
2	Concord, MA USA	Concord Carlisle / Atlantis Technology & CONCORD CARLISLE HIGH	Patriots	3205	654	33.7																							14.3763037286675																																																										33.6685383983703																																					
3	Spokane, WA USA	Wagstaff/Microsoft/Eastern Washington University/Itron/Haskins Steel/F5/CenturyLink & WEST VALLEY HIGH SCHOOL	CHUCK	2147	655	33.7																											17.2367511278944																																					21.4216406530507																																						33.654785149937																
3	Meriden, CT USA	Meriden Public Schools / United Technologies / Trail of Terror / 3M / R&D Precision & FRANCIS T. MALONEY HIGH SCHOOL & ORVILLE H. PLATT HIGH SCHOOL & H. C. WILCOX TECHNICAL HIGH SCHOOL	GUS Robotics	228	656	33.6	Curie														9.359878195359																																																																								11.9751109108856																											33.5724493899386				
3	Snohomish, WA USA	SNOHOMISH HIGH SCHOOL	Aluminati	5495	657	33.5	Newton																													8.7760126493032																																						9.8905926628795																																		33.546730906414															23.9246704453707	
3	Canton, MI USA	Movimento Group & PLYMOUTH CHRISTIAN ACADEMY	The Atoms Family	4405	658	33.5	Hopper																																										-4.5682969929989																																									14.9465246048517																									33.5382316347483							25.4164029684455		
1	Longmont, CO USA	Operational Systems (Opsys)/Ball Aerospace & Technologies Corp/NASA/Seagate Corp. & Casa de la Esperanza Learning Center	Casa Robotics	2261	659	33.5																																																																						33.524121382415																																																
2	Avon, IN USA	Rolls Royce & AVON HIGH SCHOOL	Roborioles	4103	660	33.5																29.5015413813724																								33.4889902915455																																																																														
2	Sandy, UT USA	U.I.S./Sinclair Oil/Zions Bank & THE WATERFORD SCHOOL	Ravens	3245	661	33.5																																						33.4880050019637																																			16.618365455756																																													
3	San Jose, CA USA	Mimi Patterson / MDR Precision / Nvidia / C&H Enterprises / Garcia Family / Wells Fargo Advisors / Nova Drilling / Gorilla Metals / The Omni Group / Google Inc. / Wasabi / Brin Wojcicki Foundation / SmartDraw / Intuitive Surgical / Anki Drive / Oracle / BAE Systems / 4D Metal Finishing / Desai Family / Venkat Family / Lee Family & VALLEY CHRISTIAN HIGH	WarriorBorgs	3256	662	33.5	Carson																																																			17.2087432059824																																										23.0044197944468																		33.4791113538037						
3	Worcester, MA USA	WPI & MA ACADEMY FOR MATH AND SCIENCE SCHOOL	Gompei and the H.E.R.D.	190	663	33.5	Newton											13.9653967293547																17.8154235603669																																																									33.4725593516994																																22.46032935202	
2	Des Moines, WA USA	Boeing/OSPI/Microsoft/Print First & MOUNT RAINIER HIGH SCHOOL	Mount Rainier Rambotics	4461	664	33.4429512023926																																																																				8.6864963414972																		33.4429519651115																																
2	Torreon, COA Mexico	Industrias Peñoles & Universidad TecMilenio Campus Laguna	DEROF	4735	665	33.4																			15.9881402920375																																																																									33.4178108454056																										
3	Flushing, NY USA	Magellan Aerospace / Rockwell Automation / Queens College, CUNY / THHA / THHS PTA / The Home Depot / Applebee's & TOWNSEND HARRIS HIGH SCHOOL	Steel Hawks	2601	666	33.4	Carson																																						10.9048054166357																																			33.3729526654326																																						28.9557092098884						
2	Los Alamos, NM USA	Los Alamos National Lab & Los Alamos National Security LLC / Los Alamos National Bank / ASME Northern New Mexico / Neptune & Company / Thornburg Investment Management & LOS ALAMOS HIGH	Project Y	4153	667	33.3																																						-4.6466361021572																																								33.2723049920763																																								
3	Auburn Hills, MI USA	Plastics Engineering and Technical Services / ThyssenKrupp System Engineering, Inc. / Oakland University & AVONDALE HIGH SCHOOL	RoboJackets	3538	668	33.2										14.9756218851993																																																																																																33.2307056582701			18.3830558861504									
2	San Jose, CA USA	Valin Corporation / Intuitive Surgical, Inc. / BAE Systems / ProxyIT, Inc. / HSC Electronic Supply / Drake Welding, Inc. / LUX Manufacturing Inc. / Mike Schmit & Archbishop Mitty High School	TKO	1351	669	33.2																						25.8799171113627																																																																								33.1666216968624																								
1	Yonkers, NY USA	Dr. Andrew and Judith Economos Foundation/Con Edison/Dott-Communications, LLC & SAUNDERS TRADES & TECHNICAL HIGH SCHOOL	The Saunders Droid Factory	2344	670	33.1	Hopper																																						31.9506205511557																																																																													33.149437118116		
2	Chantilly, VA USA	IBEW Local 26 / Bechtel / Northrop Grumman / Booz Allen Hamilton & Chantilly Academy	Chantilly Robotics	612	671	33.1	Tesla	14.7281310875593																																																																													17.3443963012229																																							33.1215645374486
2	Farmington, MI USA	Bosch/FarmingtonPublic Schools/Paragon/General Motors/Dallas Industries/Ford Motor company/Nissan & FARMINGTON HIGH SCHOOL	Hackbots	3414	672	33.1																										0.5556475497288																																																										33.1016357269599																																		
4	Grosse Ile, MI USA	Grosse Ile High School/NASA/GIEF/MEGS/BASF & GROSSE ILE HIGH SCHOOL	Wired Devils	5498	673	33.1	Galileo																																										17.5069547670409																																																														20.8512034558395				0.3420634828167						33.0962151590086			
2	Saugatuck, MI USA	SAUGATUCK HIGH SCHOOL	Indians	5610	674	33.0633316040039																																												0.1129186100569																			33.0633305947051																																																							
2	Southold, NY USA	Southold UFSD / Miller Environmental / Ultra Motion, LLC / Accela Legislative Management / Grissom Fuel Oil Company / Albertson Marine / North Fork Sanitation, Inc. / Southold Town PBA / Peter VanMater Lawn Care / Southold IGA / Hart's True Value Hardware / Southold Hardware / 631 Diner / Mullen Motors / Southold Fish Market / Hudson City Savings Bank / STIDD Systems, Inc. / North Fork Welding / Greenport Harbor Brewing Co. / We Can Do It Preschool! / Southold Pharmacy & SOUTHOLD JUNIOR-SENIOR HIGH SCHOOL	TEAM R. I. C. E.	870	675	33.1																																																									17.419278671142																	33.0613096520166																																												
3	Mattawan, MI USA	Whirlpool & MATTAWAN HIGH SCHOOL	Mattawan WiredCats	5675	676	33.055248260498																																												5.6315231672011																			15.9574119039295																																														33.0552464709505									
2	Great Neck, NY USA	Gold Coast- Lake Success Rotary / Charles Schwab- Stuart Lempert / Sherman Orthodontics / John Doremus / Great Neck South High School PTSA / Judi Bosworth / Great Neck Alert Fire Department / Great Neck South High School / Medical Supply Company / GE Pickering Medical Supplies / Racedeck Flooring & GREAT NECK SOUTH HIGH SCHOOL	Rebels	2638	677	32.9																																																																										32.9477527068526																						6.939107368068																						
1	Modi'in-Maccabim Reu't, M Israel	Qualcomm/Boeing Israel/Omri Insurance Agency/Neot Reu't Foundation/Malat IAI/Hi-Cut/Municipality of Modi'in-Maccabim-Reut/Lior Shemer Furniture/Big Idea/Keren Lahaim Foundation & MOR High School & MOR High School	Elysium	1937	678	32.9452934265137																															32.9452940532277																																																																																							
2	Nampa, ID USA	Micron Technology Foundation, Inc./SpecTek/Plexus Corp./Campbell Tractor/Stone Lumber/Hill Construction/International Minute Press/Greg Schwanke Family & COLUMBIA HIGH SCHOOL	Naskcorpions	2594	679	32.8871383666992	Curie																																					16.7412974832877																																																																												32.8871382797084				
2	Thief River Falls, MN USA	Digi-Key & LINCOLN SENIOR HIGH	ProDigi	3277	680	32.8397331237793			18.1165653226221																																																								32.8397327585973																																																											
2	Flagstaff, AZ USA	Science Foundation Arizona / Phoenix Analysis & Design Technologies / APS & Phoenix Suns STEM Mini Grant / GKC Geoscience LLC / WL Gore & Associates / Northern Arizona University / AZ Superbowl Planning Committee STEM Super Hero Award / Arizona FIRST / Arizona Tax Credit Donations / Flagstaff Unified School District #1 & COCONINO HIGH SCHOOL	CocoNuts	2486	681	32.8	Tesla																																					10.8022920954028													17.9974167060426																																																																			32.7650655270826
3	Flourtown, PA USA	Lockheed Martin Corporation/Comcast/Boeing/Radwell International/Scala, Inc./Boost 11/Pennoni & MOUNT ST JOSEPH ACADEMY	Firebirds	433	682	32.7																																															32.7450491108451																																										25.490797365289																					12.3104289016109								
3	Charlotte, MI USA	DART Container / ALRO / Harbor Freight / Fulton Lumber / Optimist Club / GARN / County Journal / Silk Screen Stuff / Lowe's / Solid / Spartan / Harmon Autoglass / Harmon Autoglass & CHARLOTTE SENIOR HIGH SCHOOL	The O-Bots	5710	683	32.6960716247559	Newton								29.0577757595349																17.016391980492																																																																																				32.6960702385392								30.4888248491379	
2	Louisville, KY USA	FIrstBuild / NASA / Big Ass Solutions / FrankDesign, LLC / University of Louisville / Dow / Ford / United Auto Workers Union / Papa John's Pizza & DUPONT MANUAL HIGH	Winner's Circle Robotics	5492	684	32.6																																																							32.595618039328																																													31.320496028603																		
2	Buffalo, NY USA	NASA / I squared R / Atech-SEH / heather harwood graphics / WSF Industries / 3D Systems / Unifrax / Brava Metal Supply / Autodesk & NICHOLS SCHOOL	The Electric Mayhem	4930	685	32.6	Hopper																																																								16.5048365889931																																										15.9821323268365																	32.5547458415846		
3	Ardmore, PA USA	Lockheed Martin/Lower Merion School District/National Defense Education Program & LOWER MERION HS	Dawgma	1712	686	32.5																																															32.527007655253																																										22.6983468583524																					23.7821009637682								
1	O'fallon, MO USA	The Boeing Company/Midwest Machine Tool Training Center/Bill Davis Inc./Boeing Employees Community Fund/Nidec Motor Corporation/Toyota/DCS Holdings Group, LLC/Ameren Missouri & River City Robots	Channel Cats	1094	687	32.5	Newton																																																						32.5119568191348																																																														15.8774867427352	
2	Walled Lake, MI USA	Chrysler Foundation/TRW/Tecla Company, Inc./Engineered Abrasives/Hitachi/Dedoes Industries/Genisys Credit Union/AWG Systems/Midwest Glass Fabricators/Erin Industries/B&P Process Equipement & WALLED LAKE CENTRAL HIGH SCHOOL & WALLED LAKE WESTERN HIGH SCHOOL & WALLED LAKE NORTHERN HIGH SCHOOL	The Monsters	308	688	32.5																										32.4995220345379																																																																														32.4647770230829														
3	Seattle, WA USA	Microsoft / The Boeing Company / Automated Metal Technologies / CEL / Hydroslice / Rainier Valley Rotary Club / OSPI / SPEEA / Robinson Family Foundation & xbot robotics & FRANKLIN HIGH SCHOOL	Team XBot	488	689	32.3920593261719																														25.3740354585663																																						25.9128980568964																																		32.3920578779355																
2	Rochester Hills, MI USA	American Axle & Manufacturing, Inc. / Adambots FRC Team 245 / 2015 FRC Rookie Grant / State of MI FRC Grant / Concord Tool and Manufacturing & STONEY CREEK HIGH SCHOOL	CyberCats	5436	690	32.4									6.4814428124443																																																																																																	32.3888469586633												
2	Richmond, VA USA	Solidworks/The Gleberman Family & BENEDICTINE HIGH SCHOOL	Team CLUTCH	1033	691	32.3																																																										9.5220799532508																					32.3481237608328																																							
3	Livonia, MI USA	AISIN Technical Center of America, Inc. / DENSO International America, Inc. / Linear Mold & Engineering / Ford Motor Company / BAE Systems / Comcast / SABIC & Livonia Public Schools	The Livonia Warriors	2832	692	32.3																																											6.4135384755837																																									30.2247809747332																					32.3466472998688													
2	Edgewater, MD USA	The Power Hawks Robotics Club, Inc./Government Services Integrated Processing Team/NSA Grant/NASA/Righttime Medical/Anne Arundel County Public Schools/Microsoft/Booz Allen/Daly Computers/Earth Observation Technologies LLC/Multimed Technical Services, Inc/Chesapeake Regional Tech Council/Chevy's/Commodore Mayo Kiwanis Club/BIT Solutions/McCarter Welding/Family Veterinary Clinic/Google & SOUTH RIVER HIGH	The Power Hawks	1111	693	32.3	Newton																																																								9.8614951375653																																							18.8791177691729																					32.3409015136088	
2	Montréal, QC Canada	ABB / BCGO / Brault & Bouthillier / Axiomatech / Photo Laplante / Stylo.ca / College Andre-Grasset / Autobus RM / Services Aptech / Tech-Gym / CONTANT.ca / CDRST / La Fondation du College Regina Assumpta / Centre culturel et sportif du College Regina Assumpta / MARINONI / ZCL Composites INC / Paintball Mirabel / Modecole / A B C Services d'Arbres / Desjardins Caisse populaire de Jean-Talon-Papineau / Desjardins Caisse populaire du Sault-au-Recollet / Chartwells / APCRA & College Regina Assumpta	Tech for Kids	3990	694	32.3337211608887																																	21.6050097157037																	32.3337193935165																																																																				
1	Honolulu, HI USA	BAE SYSTEMS/DATAHOUSE & IOLANI SCHOOL	'Iobotics	2438	695	32.3271751403809																																																																								32.3271746624054																																														
3	DeTour, MI USA	DETOUR HIGH SCHOOL	Raider Robotics	5072	696	32.3	Tesla																																												4.2273620920723																																						32.3251316322063																										24.7976618001932									29.8236548984614
2	Milwaukee, WI USA	Rockwell Automation / A.O. Smith Foundation / County Line Pharmaceuticals / Moore Designs, Inc. / Modine Manufacturing Foundation / Jim O'Rourke Family / A & A Manufacturing / Big Systems / Briggs and Stratton / Boyle Fredrickson LLP / Dedicated Computing / Milwaukee School of Engineering / Northern Gear / Strattec / Titan Inc. / Caballero Family / Cavalco Family / John McDermott Family / Moline Family / Accurate Metal Products / Curtis Industries / Celera Systems / Giles Inc. / HUSCO / In Pro / Peter Schwabe Inc. / Taylor Computer Services / Time Warner Cable / Trinix Creative / Power Test / Armstrong Family / Barham Family / Hall Family / Neuberg Family & DIVINE SAVIOR HOLY ANGELS HIGH SCHOOL & MARQUETTE UNIVERSITY HIGH SCHOOL	Hilltoppers	1732	697	32.3																				32.2956139288147																																							28.0779771483852																																																											
2	Sanford, ME USA	Robotics Institute of Maine / Portsmouth Naval Shipyard / NDEP / Pratt & Whitney / General Dynamics / Corning Foundation / Caron Engineering & SANFORD REGIONAL TECHNICAL CENTER	The ANOMALY	3451	698	32.3																																										21.9833406373078																							32.2827794703346																																																					
4	Portland, OR USA	CATLIN GABEL SCHOOL	Flaming Chickens	1540	699	32.3	Galileo												12.679273386002																																	12.4140863315117																																																								26.451052334306													32.2748179719416			
2	Liberty, MO USA	Liberty Robotics Foundation/Gary Crossley Ford/East Clay Rotary Club/Argus Consulting/KC STEM Alliance/Honeywell/Laird Plastics/Pride Manufacturing & LIBERTY HIGH & LIBERTY NORTH HIGH SCHOOL	Liberty Robotics	1764	700	32.3																																				9.9954298920482																																																															32.2662719610177																			
2	Ramona, CA USA	Pratt & Whitney - United Technologies / Qualcomm / Bulldog CONNECT / NASA / US Army / American Society of Mechanical Engineers / Kiwanis Club of Ramona / VFW - Post 3783 Ramona & RAMONA HIGH	Neo-Tech Robotics	2029	701	32.3																																						-0.2030910478592																																																							32.2633606456291																									
4	Cheboygan, MI USA	CHEBOYGAN AREA HIGH SCHOOL	ChiefBots	5692	702	32.2156562805176	Archimedes																																												12.0949460679033																																						32.2156559718866																										23.6325891859515		17.5252289835393							
2	North Charleston, SC USA	BOSCH/Robert Bosch, LLC/Dorchester County School District/SPAWAR/Dorchester County Council & FORT DORCHESTER HIGH	Burning Magnetos	342	703	32.2					28.2696668150432																																																					32.2077503881741																																																												
2	Owatonna, MN USA	OWATONNA SENIOR HIGH	Rebel Alliance	4624	704	32.1138114929199				32.1138121171561																																																							28.8405984896351																																																											
2	Dallas, TX USA	Texas Instruments/Vickery Meadows Foundation/Texas Workforce Commission & EMMETT J CONRAD H S	ROBOCHARGERS	3005	705	32.1						23.6684215400614																																																																								32.0811394608762																																								
2	Melrose, MA USA	Citizens of Melrose/Textron Systems/Raytheon/Hallmark Health/Melrose Cooperative Bank/Churchill Corp/SAME & MELROSE HIGH	iRaiders	2713	706	32.1																												10.539406503806																																																					32.0737745122152																																					
2	Lancaster, CA USA	NASA/ITEA/MDM Architects/All Glass and Plastics/Lowe's & ANTELOPE VALLEY HIGH	Robolopes	2339	707	32.1	Newton																																																																															9.0645242731028													32.0717844320824																								13.8117579410422	
2	Greenwood Village , CO USA	Booz Allen Hamilton / Lockheed Martin / Xilinx / Magpul / MessageWatcher / Regency Diamonds / All About Braces / Accudyne Corporation / Fiero Fluid Power & CHERRY CREEK HIGH SCHOOL	Something's Bruin	4550	708	32.1	Hopper																																					32.0666466949694																																27.4829705485355																																														29.8677334478763		
2	Carson, CA USA	The Boeing Company/Northrop-Grumman/Raytheon/CAMS PTSO & CALIFORNIA ACADEMY OF MATHEMATICS AND SCIENCE	The Nerd Herd	687	709	32.1																																		5.6864317059263																																							32.0573213658334																																													
2	Farmington Hills, MI USA	Autodesk / Articulus / Wright Beamer, PLC / Aging Answers. LLC / Metro Bolt & Fastener / Akebono / Theuerkauf Raymond James & MERCY HIGH SCHOOL	The Riveters	1481	710	32.0										6.3155405134183																																																																																															32.040768590569													
2	Pinconning , MI USA	PINCONNING HIGH SCHOOL	The Loose Connections	5504	711	31.9											9.0476930719092																																																			31.9206677313772																																																								
3	Cupertino, CA USA	IBM / Platt Electric Supply / Brin-Wojcicki Foundation / Qualcomm / Western Digital / BAE Systems / De Anza College Machine Shop / Pinnacle Manufacturing / Intel / VMware / Teco Pneumatic / Google / Lockheed Martin / Fremont Union High School Foundation / Symantec Corporation / Intuitive Surgical / EMC2 & MONTA VISTA HIGH	MVRT	115	712	31.9	Archimedes																																					11.0321159803743																																																								26.2786204475021																	31.9143712425528							
2	Lafayette, CO USA	Covidien / Periodontics and Dental Implants, PC / Gafner Family Foundation / Anthem Branding / Pelco / Bickel Family / Front Range Vital Signs / Professional Financial Specialists, Inc. / Dawson Parents Association / Friends of RC Dawson & Dawson School	RC Dawson	2972	713	31.9																				22.4101320497837																																																		31.8973914378462																																																
1	Rochester, NY USA	Bausch & Lomb Corp & EASTRIDGE SENIOR HIGH SCHOOL	Eastridge Robotics	3157	714	31.9																																																																											31.8827842129491																																											
2	Kingston, MA USA	Entergy / Silver Circuit STEM Camp / Halifax Cultural Council / Kingston Cultural Society & SILVER LAKE REG HIGH	Silver Circuit	4474	715	31.9																												-4.870239200482																																							31.8660732572517																																																			
2	Cassopolis , MI USA	K&M Machine Fabricating, Inc. / IMT Consulting Inc / Valeri Minnix-Pompa / Bergen RC / JCS Woodworking and Manufacturing / Creative Vinyl Sign Inc. / ICM Products Inc. / Edward Lowe Foundation / Hayslet & Gaynor P.C. / Hayden True Value Hardware / Firevine / Tyler Automotive / RC Fun Park / Diamond eVentures, LLC / Carter Electric / K&B Philips 66 / VFW Ladies Auxilary 10704 / Cassopolis Dental / Zolman Tire / Porky's Party Place / Moreno's Sports Bar and Grill / Brew Ha-Ha / Lipstick Jungle & ROSS BEATTY HIGH SCHOOL	RoboRangers	4325	716	31.9									31.854918995888																																																						30.2188208851871																																																							
2	Roxbury Township, NJ USA	Picatinny Arsenal/Quantitative Analysis & ROXBURY HIGH	Roxbotix	4361	717	31.8																													19.143018819419																																																											31.849524875822																														
3	Sacramento, CA USA	Intel / Society of Women Engineers / Steve Campora, Attorney At Law / TAP Plastics / Sacramento Sherriff's Activity League & Boys & Girls Club of Greater Sacramento	Team X	4498	718	31.8	Curie																																																			31.8105207273065																																									8.0011155228166																					24.9939354393146				
4	Ambler, PA USA	DOW Chemical / Comcast / The Boeing Company / BAE Systems / Cobham Defense Electronics / Lockheed Martin / Janssen Biotech Inc. / Johnson & Johnson / Denney Electric Supply / D.i.D. & WISSAHICKON SHS	Miss Daisy	341	719	31.8	Curie																-6.2539748837682																														25.7510605809935																										15.9986819587472																																									31.7951237965125				
2	Beverly Hills, CA USA	Walt Disney Imagineering/Raytheon/UCLA Racing/PlanetBravo/BHHS PTSA/WireTechEDM/YapStone/BHEF/LA County R.O.P. & BEVERLY HILLS HIGH & BEVERLY HILLS HIGH	MorTorq	1515	720	31.8	Tesla																																	14.193362334998																																														14.067449546012																																						31.7890707081648
2	Dana Point, CA USA	NASA / Western Digital / Boeing / Masimo / TechSpace / Mission Auto / FUGU Corp. / GoEngineer & DANA HILLS HIGH	Robot Dolphins From Outer Space	5199	721	31.8																																																																									31.7747816172541																				21.8262064585796																									
3	Hartford, CT USA	Pratt & Whitney / GE Volunteers / University of Hartford / Hartford Public Schools / Nutmeg StateFederal Credit Union / Tsunami Tsolutions / Satellite Tool & Machine Co., Inc. / Schneider Electric & UNIVERSITY HIGH SCHOOL	Dragons	1991	722	31.8															14.049842696642								25.7744624347346																																																																31.7672269824921																															
4	Maple Valley, WA USA	The Boeing Company/SPEEA/Alaskan Copper & Brass Company/Flow International Corporation & TAHOMA SENIOR HIGH SCHOOL	Bear Metal	2046	723	31.8	Curie													20.1754012332759																																		22.3832699909262																																																						31.754514445343												23.0461331406875				
1	Mustang, OK USA	Xerox/Tinker Air Force Base/Oklahoma State Department of Education/NDEP & MUSTANG HS	Omega Factor	3465	724	31.7																																																																													31.7240698323324																																									
2	Maple Grove, MN USA	Boston Scientific / Osseo Area Schools / Michael Matheson of Financial Dimensions Group / Yellow Tree Theatre / Maple Grove Lions Club / TURCK Inc. / Natur-Bag / Art and Frame World / Country Chevrolet / Hennepin Theater Trust / Three Squares Restaraunt / Solos Pizza Cafe / Chipotle & MAPLE GROVE SENIOR HIGH	Crimson Robotics	2526	725	31.7	Tesla		28.0430706439767																																																								31.7194171275147																																																											21.0841376086301
2	Fairview, PA USA	GE/Eriez & FAIRVIEW HS	RPM - Robotics Plus Mayhem	156	726	31.7																					25.2891504366195																																																							31.7159919107947																																										
2	Marine City, MI USA	CARDINAL MOONEY CATHOLIC	RoboSapiens	4779	727	31.7																										20.6756306142965																																																								31.6897102640326																																				
2	Yuma, AZ USA	General Motors / Shaw Floors / Mr. G's & Chile Pepper / Dr. Dennis Wong / Hoppstetter's Office Products & YUMA HIGH SCHOOL	Gila Monsters	3785	728	31.7	Newton																																																		11.7921034840332																																									17.8196725374109																									31.675002202022	
3	Fort Wayne, IN USA	NASA / Fort Wayne Metals / Franklin Electric / Tuthill & HOMESTEAD SENIOR HIGH SCHOOL	Olympus Robotics	4982	729	31.7																13.4127189457834																								16.336326134878																																																															31.6605473322329															
3	Newfane, NY USA	Delphi Thermal/GM Components Holdings, LLC & NEWFANE SENIOR HIGH SCHOOL	The Circuit Stompers	378	730	31.6	Archimedes																																16.3865000488735																																										31.6179490776177																																				11.3656753255697							
2	Bellevue, WA USA	Microsoft/OSPI/Bellevue Schools Foundation & INTERLAKE SENIOR HIGH SCHOOL	Saints Robotics	1899	731	31.6																														6.9684937499441																																																								31.6149445466778																																
2	Lake Linden, MI USA	LAKE LINDEN-HUBBELL HIGH SCHOOL	Robotic Turmoil	5486	732	31.6																									8.0002598316488																																																										31.581921166444																																			
2	Tulsa, OK USA	American Electric Power / Express Integrated Technologies / Willbros / TD Williamson / Allied Fence Company / Baker Hughes / Knape Associates / Kimberly-Clark / Allen & Associates / Matrix Service Company / Charles & Lynn Schusterman Family Foundation / Tulsa Engineering Foundation / Instrument Society of America / Tulsa Public Schools College & Career Readiness Dept. / ITT Technical Institute / Memorial Robotics Booster Club & MEMORIAL HS	Circuit Chargers	932	733	31.5	Newton					5.281890922974																																																																							22.5418874877215																																								31.5097383402485	
2	Chambersburg, PA USA	Franklin County 4-H / Chambersburg Moose Lodge 842 / TE Connectivity Foundation / JLG / IESI / Volvo Construction Equipment / Target / Comcast / Sunset Metalworks / The Minisci Family / Gannon Associates / Resource Oil / Penn State Mont Alto / The Lehman Family Foundation / Zachary S. Sisler, DDS, LLC & Franklin County, Pennsylvania	4-H Biohazard	4050	734	31.5	Tesla																				-1.3725153586127																																																																											8.1066398482998																						31.4698620582593
1	Greensburg, PA USA	NASA / Bridge Deck Solutions / Kencove Fencing / Penn State EXTENSION / Roberto Ugoletti / Williams Companies / First Commonwealth Bank & 4-H Gears & Penn State Extension of Westmoreland County	4-H Gears	3955	735	31.4																					31.3638404444262																																																																																																	
2	Newport, NH USA	Sullivan county	Sullivan 4H-Newport	5782	736	31.3396282196045																							9.7880191805721																			31.3396286860676																																																																												
2	Las Vegas, NV USA	NRGEnergy / Engelstand Family Foundation / NASA / 7-11 / AXA Equitable & SIERRA VISTA HIGH SCHOOL	Mountain Lions	5429	737	31.3	Galileo																																																																								23.0945171782804																																										31.2990610535757			
