# of Events	Location	Team Name	Nickname	Team #	OPR Rank	Max OPR	ChampionshipDivision	Archimedes	Curie	Galileo	Newton	BAE	FingerLakes	Palmetto	HubCity	CentralValley	Kettering	TraverseCity	HatboroHorsham	TorontoEast	SanDiego	Orlando	WPI	LakeSuperior	NorthernLights	Oregon	LoneStar	NewYorkCity	GullLake	Waterford	Israel	Montreal	Peachtree	Boilermaker	KansasCity	St.Louis	NorthCarolina	Pittsburgh	Virginia	Detroit	St.Joseph	TCNJ	SpringsideChestnutHill	Waterloo	Phoenix	Sacramento	LosAngeles	Bayou	Boston	QueenCIty	Dallas	Utah	CentralWashington	Wisconsin	WestMichigan	GrandBlanc	MountOlive	LenapeSeneca	TorontoWest	InlandEmpire	Connecticut	WashingtonDC	SouthFlorida	MN10000Lakes	MNNorthStar	Buckeye	Oklahoma	SmokyMountains	Alamo	Seattle	Livonia	Troy	WesternCanadian	Razorback	SiliconValley	Colorado	Hawaii	Midwest	Crossroads	PineTree	LasVegas	LongIsland	Spokane	Bedford	BridgewaterRaritan	Chesapeake	MichiganState	MidAtlanticRegion
																																																																																								
4	Grosse Pointe , MI USA	NDEP/GM R & D Operations & Grosse Pointe Public Schools	The Gearheads	1189	33	65.3											26.6577728641551																							40.8310904232271																															45.6376213963135																65.299613226621	
3	Milford, NH USA	PTC/Rockwell Automation/BAE Systems/Best Buy & Milford Area Youth Homeschoolers Enriching Minds	Mechanical Mayhem	1519	34	64.1	Archimedes	31.8428414208207				28.9754003245125																									64.0676771721709																																																			
3	Heath, TX USA	The Boeing Company / Special Products and Manufacturing / Nash Construction / Rockwall Independent School District & Rockwall-Heath High School	Black Hawk Robotics	3310	35	64.0	Archimedes	68.7040426023584							5.5258819251538																																				64.0443500273877																																					
4	Marlton, NJ USA	Lockheed Martin/Naval Air Systems Command/Lenape Regional Robotics/Vision Edge L.L.C./Shamong Manufacturing/CADPRO Inc./Marlton Pike Precision & Lenape High School & Cherokee High School	Storm Robotics Team	2729	36	64.0	Galileo			72.8263010555515									36.6024371892438																																							51.4024247229215																														64.0160056858093
4	Montvale, NJ USA	Dassault Falcon Jet/Inserra Supermarkets/New Jersey Spine and Brain Associates/Dimensional Communications/BMW Group/BAE Systems/Norwolf Tool Works/A&G Research/The Hall Family/Dr. Thomas Peterson/Broadway Joe's/Russ Chapman and Davey's Irish Pub & Pascack Valley Regional High School District	The Pascack PI-oneers	1676	37	63.7	Newton				70.1031925713387																																														43.5261537406187																												63.673329332091			49.3970410790722
5	Dorr, MI USA	Williams Tooling & Manufacturing/Electrocal/U.S. Engineering/Van Den Berge Pest Control/STM Manufacturing/A-1 Used Mowers/Stefftech V5/New Salem Corn Maze/Ed Koehn Ford Wayland/Spartan Graphics/Custom Engraving/Acclaimed Catering/Dershem Wholesale/Bumper to Bumper Allegan/BC Pizza Dorr & 4-H Allegan Co MSU Extension	TEAM ROCK	2000	38	63.6	Galileo			39.2017272566702								27.4198381391306											37.9911286076253												62.9823108382652																																														63.5641151570923	
3	Indianapolis, IN USA	Allison Transmission/Rolls-Royce/Morris Machine/Indiana Department of Education/AndyMark/Our Proud Grandmas & Perry Meridian High School	Cyber Blue	234	39	63.1	Curie		52.1471198950248																									28.8766850397354																																													63.1381025683029									
3	Toronto, ON Canada	Hatch/Thales/H. Hatsios Investments/Extrude-A-Trim/Tsubaki & Crescent School	The Coyotes	610	40	63.0	Galileo			43.0459603601944		58.8114299190514																																63.0038437983644																																												
3	San Diego, CA USA	NASA/Nordson Asymtek/BlueChip Machine & Fabrication/SAIC/Qualcomm/Vivid-Hosting/KTC Research/San Diego County Sheriff's Department/Quality Powder Coating/A to Z Metal Finishing & High Tech High	The Holy Cows	1538	41	62.7	Newton				102.862117609808										43.0478088717624																																							62.661703757004																												
3	Southington, CT USA	Pratt & Whitney/Plainville Electrical Products Company/Pyramid Technologies/Tiger Enterprises/Saucier Mechanical Services Inc. & Southington High School	Cyber Knights	195	42	62.3	Newton				68.8349033658578																												17.8098163827366																						62.3391001299007																											
